pic_num,sym_num,symbol,size,position,color,font
120000,1,!,(8, 25),(145, 51),(255, 255, 255),Noto Sans Mono CJK JP Regular
120000,2,0,(15, 42),(162, 183),(255, 255, 255),Noto Sans CJK KR
120001,1,0,(9, 18),(53, 88),(255, 255, 255),Noto Sans CJK JP Regular
120001,2,1,(15, 31),(92, 131),(255, 255, 255),Liberation Sans
120001,3,/,(29, 61),(133, 185),(255, 255, 255),Tlwg Typist
120001,4,5,(28, 52),(181, 51),(255, 255, 255),Bitstream Vera Sans
120002,1,9,(11, 20),(107, 190),(255, 255, 255),Noto Sans Mono CJK KR Regular
120002,2,8,(8, 16),(86, 166),(255, 255, 255),Noto Sans CJK TC Bold
120002,3,-,(9, 51),(64, 73),(255, 255, 255),Kinnari
120003,1,-,(5, 15),(115, 79),(255, 255, 255),Noto Sans CJK SC Black
120004,1,5,(23, 58),(175, 146),(255, 255, 255),Liberation Sans Narrow
120004,2,z,(14, 45),(95, 73),(255, 255, 255),Noto Sans Mono CJK KR
120004,3,d,(15, 36),(58, 194),(255, 255, 255),Noto Sans CJK TC
120005,1,8,(10, 36),(133, 163),(255, 255, 255),Laksaman
120006,1,b,(9, 16),(55, 147),(255, 255, 255),Fixed
120007,1,*,(31, 64),(110, 123),(255, 255, 255),Tlwg Typist
120008,1,7,(7, 14),(60, 91),(255, 255, 255),Lato Thin
120008,2,/,(14, 33),(153, 156),(255, 255, 255),Tlwg Typewriter
120008,3,<,(14, 25),(183, 71),(255, 255, 255),Lato Black
120008,4,7,(23, 46),(93, 200),(255, 255, 255),Ubuntu Mono
120009,1,9,(13, 35),(146, 70),(255, 255, 255),Noto Sans Mono CJK TC
120009,2,0,(33, 56),(103, 150),(255, 255, 255),FreeMono
120009,3,(,(8, 24),(80, 101),(255, 255, 255),Lato Light
120010,1,),(8, 24),(51, 156),(255, 255, 255),Abyssinica SIL
120010,2,a,(13, 25),(117, 78),(255, 255, 255),Noto Sans CJK SC Black
120010,3,),(12, 36),(72, 114),(255, 255, 255),Noto Sans CJK JP Thin
120010,4,.,(17, 34),(95, 195),(255, 255, 255),DejaVu Sans Mono
120011,1,4,(28, 58),(65, 179),(255, 255, 255),Tlwg Typist
120011,2,5,(25, 66),(113, 102),(255, 255, 255),Ubuntu Condensed
120011,3,d,(13, 22),(197, 52),(255, 255, 255),FreeMono
120012,1,-,(7, 19),(74, 125),(255, 255, 255),Symbola
120012,2,2,(11, 20),(201, 204),(255, 255, 255),Lato Light
120012,3,1,(16, 58),(54, 59),(255, 255, 255),Norasi
120012,4,6,(17, 35),(103, 170),(255, 255, 255),Ubuntu Mono
120013,1,z,(18, 37),(173, 133),(255, 255, 255),ClearlyU Alternate Glyphs
120013,2,x,(30, 63),(105, 64),(255, 255, 255),DejaVu Serif
120013,3,d,(9, 16),(154, 183),(255, 255, 255),Century Schoolbook L
120013,4,),(3, 11),(141, 164),(255, 255, 255),Courier 10 Pitch
120014,1,-,(16, 51),(75, 102),(255, 255, 255),DejaVu Sans
120015,1,6,(12, 47),(141, 130),(255, 255, 255),Purisa
120015,2,),(12, 75),(75, 52),(255, 255, 255),Khmer OS
120016,1,+,(20, 36),(98, 117),(255, 255, 255),Noto Sans CJK JP DemiLight
120016,2,5,(11, 20),(178, 85),(255, 255, 255),Noto Sans CJK JP Thin
120017,1,4,(13, 36),(90, 78),(255, 255, 255),Noto Sans CJK TC
120018,1,a,(33, 88),(154, 186),(255, 255, 255),Noto Sans Mono CJK TC
120018,2,=,(15, 50),(202, 78),(255, 255, 255),Garuda
120019,1,0,(24, 64),(52, 68),(255, 255, 255),Noto Sans CJK KR
120019,2,9,(12, 23),(149, 194),(255, 255, 255),Nimbus Mono L
120019,3,*,(9, 23),(173, 160),(255, 255, 255),Lato Medium
120020,1,>,(10, 18),(70, 103),(255, 255, 255),Century Schoolbook L
120021,1,*,(11, 30),(189, 169),(255, 255, 255),URW Chancery L
120021,2,d,(17, 28),(98, 204),(255, 255, 255),ClearlyU
120021,3,*,(10, 24),(141, 133),(255, 255, 255),Lato Black
120021,4,!,(9, 27),(162, 66),(255, 255, 255),Noto Sans Mono CJK KR Regular
120022,1,=,(25, 36),(89, 52),(255, 255, 255),Bitstream Vera Serif
120022,2,a,(33, 86),(172, 201),(255, 255, 255),Noto Sans CJK SC
120023,1,+,(15, 26),(155, 157),(255, 255, 255),Lato Light
120024,1,4,(9, 26),(116, 83),(255, 255, 255),Noto Sans Mono CJK JP
120024,2,.,(16, 117),(134, 168),(255, 255, 255),Umpush
120025,1,2,(25, 65),(204, 115),(255, 255, 255),Ubuntu Condensed
120026,1,x,(17, 32),(174, 66),(255, 255, 255),Noto Sans CJK JP Light
120026,2,8,(20, 53),(81, 165),(255, 255, 255),Noto Sans CJK SC
120026,3,7,(11, 26),(135, 105),(255, 255, 255),FreeSerif
120027,1,.,(4, 18),(72, 168),(255, 255, 255),DejaVu Serif
120027,2,>,(22, 47),(154, 78),(255, 255, 255),Tlwg Typist
120028,1,6,(9, 25),(80, 92),(255, 255, 255),Noto Sans CJK KR
120028,2,),(14, 31),(51, 184),(255, 255, 255),Tlwg Typewriter
120028,3,1,(11, 20),(115, 125),(255, 255, 255),decsess.pcf
