pic_num,sym_num,symbol,size,position,color,font
100000,1,5,(22, 40),(75, 159),(0, 0, 0),Lato Semibold
100000,2,-,(24, 54),(127, 65),(0, 0, 0),Tlwg Typewriter
100000,3,-,(10, 30),(190, 110),(0, 0, 0),URW Gothic L
100001,1,?,(13, 42),(88, 68),(0, 0, 0),Noto Sans Mono CJK TC
100001,2,>,(45, 64),(136, 127),(0, 0, 0),DejaVu Sans
100001,3,5,(6, 12),(61, 183),(0, 0, 0),ClearlyU
100001,4,6,(11, 20),(107, 199),(0, 0, 0),Noto Sans CJK SC Black
100002,1,z,(10, 18),(101, 118),(0, 0, 0),Fixed
100002,2,0,(29, 85),(193, 53),(0, 0, 0),Loma
100002,3,3,(7, 14),(84, 167),(0, 0, 0),Lato Medium
100002,4,9,(19, 38),(117, 201),(0, 0, 0),DejaVu Sans Mono
100002,5,y,(16, 32),(57, 144),(0, 0, 0),Bitstream Vera Sans Mono
100003,1,8,(17, 38),(146, 156),(0, 0, 0),FreeSerif
100003,2,>,(11, 35),(70, 97),(0, 0, 0),Kinnari
100003,3,/,(9, 31),(111, 53),(0, 0, 0),Clean
100004,1,y,(15, 28),(145, 62),(0, 0, 0),Courier 10 Pitch
100004,2,c,(11, 34),(78, 191),(0, 0, 0),Noto Sans CJK TC
100004,3,<,(13, 36),(116, 125),(0, 0, 0),Noto Sans CJK TC
100005,1,3,(9, 18),(116, 105),(0, 0, 0),Lato Thin
100005,2,z,(11, 34),(178, 201),(0, 0, 0),Noto Sans CJK SC
100005,3,5,(18, 34),(140, 145),(0, 0, 0),DejaVu Serif
100006,1,),(9, 27),(79, 102),(0, 0, 0),deccurs
100007,1,5,(19, 35),(95, 141),(0, 0, 0),Courier 10 Pitch
100007,2,.,(10, 18),(150, 96),(0, 0, 0),FreeMono
100007,3,3,(8, 16),(159, 174),(0, 0, 0),Nimbus Roman No9 L
100008,1,z,(22, 49),(156, 157),(0, 0, 0),DejaVu Serif
100008,2,8,(7, 11),(69, 196),(0, 0, 0),Noto Sans CJK KR Light
100009,1,b,(8, 14),(167, 192),(0, 0, 0),ClearlyU Alternate Glyphs
100009,2,1,(12, 26),(134, 116),(0, 0, 0),Tlwg Typo
100009,3,x,(22, 40),(114, 83),(0, 0, 0),Courier 10 Pitch
100010,1,a,(8, 14),(162, 111),(0, 0, 0),Nimbus Roman No9 L
100010,2,9,(17, 32),(130, 184),(0, 0, 0),Noto Sans Mono CJK SC Bold
100010,3,.,(8, 29),(175, 149),(0, 0, 0),Nimbus Mono L
100010,4,/,(4, 14),(116, 71),(0, 0, 0),Noto Sans CJK TC Bold
100011,1,3,(11, 20),(57, 109),(0, 0, 0),Noto Sans CJK SC Bold
100012,1,0,(28, 60),(137, 196),(0, 0, 0),Lato
100012,2,=,(26, 42),(184, 64),(0, 0, 0),TakaoPGothic
100012,3,!,(10, 31),(87, 146),(0, 0, 0),Symbola
100013,1,8,(19, 35),(61, 76),(0, 0, 0),Noto Sans Mono CJK KR Regular
100013,2,*,(6, 16),(201, 110),(0, 0, 0),Noto Sans Mono CJK JP Regular
100014,1,9,(7, 14),(179, 197),(0, 0, 0),Noto Sans CJK JP DemiLight
